name,sdss_objid,ra,dec,r_o,M_r,g-r_o,mu_r,r_proj,halpha,v-v_host,tel,complete
NGC 5962,1.23767E+18,234.1329262,16.440455,14.3,-18,0.51,22.1,81,Y,-71.9,SDSS,Y
NGC 5962,1.23767E+18,233.7870375,16.870438,15.4,-16.8,0.38,22.5,206,Y,32.5,SDSS,Y
NGC 6181,1.23766E+18,247.8400299,20.184076,13.3,-19.4,0.59,21.8,255,Y,189.3,SDSS,Y
NGC 6181,1.23766E+18,248.3932257,19.94614,15.6,-17,0.4,20.1,186,Y,62.3,SDSS,Y
NGC 6181,1.23766E+18,248.0513396,19.69574,16.6,-16,0.38,22.4,80,Y,125.3,AAT,Y
NGC 6181,1.23766E+18,247.8258922,20.210879,16.9,-15.8,0.34,23.1,273,Y,89.3,AAT,Y
NGC 6181,1.23766E+18,247.8773876,20.093625,17,-15.7,0.25,24,198,Y,109.7,SDSS,Y
NGC 6181,1.23766E+18,248.1520797,19.810259,17.6,-15.1,0.29,23.4,37,Y,-88.2,MMT,Y
NGC 6181,1.23766E+18,248.5806385,19.720801,18.2,-14.5,0.86,24.3,285,Y,77.3,AAT,Y
NGC 6181,1.23766E+18,248.1953686,19.867013,18.6,-14.1,0.23,23.2,65,Y,95.3,MMT,Y
NGC 6181,1.23766E+18,248.1634268,19.792208,20.3,-12.4,0.19,23.5,47,Y,-135.3,MMT,Y
NGC 5750,1.23765E+18,221.3161158,-0.159937,14.9,-17.1,0.41,21.6,105,Y,28.5,SDSS,Y
NGC 7716,1.23767E+18,354.3506,0.390803,13.7,-19,0.41,23.7,144,Y,102.5,SDSS,Y
NGC 7716,1.23766E+18,354.1952297,0.623424,15.6,-17.1,0.41,22.9,201,Y,88.9,SDSS,Y
NGC 7716,1237666408439677694^a,353.7788053,0.301059,21.3,-11.4,1.39,23.2,213,N,-158.4,MMT,Y
NGC 1015,1.23768E+18,39.9254643,-1.418742,17,-15.9,0.35,21.2,253,Y,5.9,MMT,Y
NGC 1015,1.23768E+18,39.5361613,-1.396696,20.1,-12.8,0.06,24.2,51,Y,-95.8,AAT,Y
PGC068743,1.23768E+18,336.0481612,-3.482939,13.5,-19.5,0.41,22.5,98,Y,5,SDSS,Y
PGC068743,1.23768E+18,335.8363054,-3.659803,14.9,-18.1,0.56,21.8,164,Y,233,SDSS,Y
PGC068743,1.23768E+18,335.9799762,-3.270549,15.9,-17.1,0.58,21.4,119,Y,23,AAT,Y
PGC068743,1.23768E+18,335.9538495,-3.701195,19.4,-13.5,0.18,23.8,186,Y,-22,AAT,Y
NGC 2543,1.23766E+18,123.2431732,36.19836,15.4,-17.5,0.3,21.5,37,Y,19.7,SDSS,Y
NGC 2543,1.23766E+18,123.6498976,36.434355,16.4,-16.5,0.35,23,246,Y,-8,SDSS,Y
NGC 7541,1.23768E+18,348.6438163,4.498443,12.7,-20.1,0.68,20.1,34,Y,-15,SDSS,Y
NGC 7541,1.23768E+18,348.6966489,4.639955,15,-17.9,0.19,21.8,68,Y,175.8,MMT,Y
NGC 7541,1.23768E+18,348.7769076,4.373197,15.6,-17.2,0.55,20.8,120,Y,-19.7,MMT,Y
NGC 7541,1.23768E+18,348.6214885,4.507171,17.8,-15,0.55,23.5,43,N,-104.8,AAT,Y
NGC 7541,1.23768E+18,348.8741991,4.613261,19.9,-12.9,0.46,22.6,133,Y,17.8,MMT,Y
NGC 7541,1237679005558702536^a,348.5545917,4.915003,20.7,-12.2,0.21,23.7,259,Y,119.4,MMT,Y
NGC 4158,1.23767E+18,182.9906665,20.027849,14.4,-18.4,0.35,20.4,150,Y,-49.4,SDSS,N
NGC 4158,1.23767E+18,182.4280443,20.046919,16.7,-16.1,0.37,23.5,231,Y,19.3,MMT,N
NGC 4158,1.23767E+18,182.6898152,20.592928,18.2,-14.6,0.29,23.3,271,Y,79.9,MMT,N
NGC 4158,1.23767E+18,182.8482068,20.063223,19.9,-12.9,0.07,23.2,78,Y,-115.3,MMT,N
NGC 3067,1237664338780029261^a,149.6871689,32.720265,20.7,-11.3,0.42,24.6,158,Y,43.7,MMT,N
NGC 5792,1.23765E+18,225.0054012,-1.091302,14.8,-17.4,0.25,21,203,Y,-34,SDSS,N
NGC 5792,1.23766E+18,224.5326175,-1.312596,15.3,-17,0.57,21.5,114,Y,24.5,SDSS,N
NGC 4030,1.23765E+18,180.2954422,-1.297684,13.4,-18.4,0.31,21.4,113,Y,1,SDSS,N
NGC 4030,1.23765E+18,179.6917284,-1.461941,13.9,-17.9,0.4,21.1,220,Y,34,SDSS,N
NGC 7818,1.23768E+18,1.129658,20.718018,15.8,-16.7,0.4,22.4,73,Y,-134,SDSS,N
NGC 3277,1.23767E+18,157.7782743,28.796645,12.9,-19,0.61,19.1,208,Y,14.6,SDSS,N
NGC 3277,1.23767E+18,158.0432463,28.483057,15.2,-16.7,0.5,21.1,71,Y,173.9,SDSS,N
NGC 3277,1.23767E+18,158.7123978,28.663853,15.5,-16.5,0.38,22.1,191,Y,-85,SDSS,N
NGC 3277,1.23767E+18,158.0885195,28.419853,16.7,-15.2,0.47,22.6,66,Y,214.2,SDSS,N
NGC 3277,1.23767E+18,158.3517683,28.552914,17.8,-14.1,0.29,22.3,48,Y,-122.5,MMT,N
UGC 00903,1.23768E+18,20.7768904,17.89145,17.1,-15.9,0.23,23.1,291,Y,23.3,MMT,N
UGC 00903,1.23768E+18,20.285269,17.602236,17.3,-15.7,0.4,23,105,Y,-53.7,MMT,N
