Dwarf,M_V,dM_V+, dM_V-
Tucana~IV,-3.50 ,+0.28 ,-0.28
Sculptor,-10.82, +0.14, -0.14
Cetus~II,  0.00, +0.68, -0.68
Cetus~III, -2.45, +0.57, -0.56
Triangulum~II, -1.60, +0.76, -0.76
Segue~2, -1.98, +0.88, -0.88
DESJ0225+0304, -1.10, +0.50, -0.30
Hydrus~I, -4.71, +0.08, -0.08
Fornax,-13.34, +0.14, -0.14
Horologium~I, -3.76, +0.56, -0.56
Horologium~II, -1.56, +1.02, -1.02
Reticulum~II, -3.88, +0.38, -0.38
Eridanus~II, -7.10, +0.30, -0.30
Reticulum~III, -3.30, +0.29, -0.29
Pictor~I, -3.67, +0.60, -0.60
Columba~I, -4.20, +0.20, -0.20
Carina, -9.45, +0.05, -0.05
Pictor~II, -3.20, +0.40, -0.50
Carina~II, -4.50, +0.10, -0.10
Carina~III, -2.40, +0.20, -0.20
Ursa~Major~II, -4.43, +0.26, -0.26
Leo~T, -8.00, +9.99, -9.99
Segue~1, -1.30, +0.73, -0.73
Leo~I,-11.78, +0.28, -0.28
Sextans, -8.94, +0.06, -0.06
Ursa~Major~I, -5.13, +0.38, -0.38
Willman~1, -2.90, +0.74, -0.74
Leo~II, -9.74, +0.04, -0.04
Leo~V, -4.29, +0.36, -0.36
Leo~IV, -4.99, +0.26, -0.26
Crater~II, -8.20, +0.10, -0.10
Virgo~I, -0.80, +0.90, -0.90
Hydra~II, -4.86, +0.37, -0.37
Coma~Berenices, -4.28, +0.25, -0.25
Canes~Venatici~II, -5.17, +0.32, -0.32
Canes~Venatici~I, -8.73, +0.06, -0.06
Bootes~II, -2.94, +0.74, -0.75
Bootes~I, -6.02, +0.25, -0.25
Ursa~Minor, -9.03, +0.05, -0.05
Draco~II, -0.80, +0.40, -1.00
Hercules, -5.83, +0.17, -0.17
Draco, -8.88, +0.05, -0.05
Sagittarius,-13.50, +0.15, -0.15
Sagittarius~II, -5.20, +0.10, -0.10
Indus~II, -4.30, +0.19, -0.19
Grus~II, -3.90, +0.22, -0.22
Pegasus~III, -4.10, +0.50, -0.50
Aquarius~II, -4.36, +0.14, -0.14
Tucana~II, -3.90, +0.20, -0.20
Grus~I, -3.47, +0.59, -0.59
Pisces~II, -4.23, +0.38, -0.38
Tucana~V, -1.60, +0.49, -0.49
Phoenix~II, -2.70, +0.40, -0.40
Tucana~III, -1.49, +0.20, -0.20
