M_vir,n_star,n_particles,sim,satellite,is_host_1
1401220000000.0,37682333,84605445.0,h148,False,False
71487400000.0,435431,3034946.0,h148,True,True
33665300000.0,294793,1493719.0,h148,True,True
23963200000.0,85749,928433.0,h148,True,True
24142400000000.0,0,829941.0,h148,False,False
21049800000.0,65528,808825.0,h148,False,False
10722300000.0,47542,418302.0,h148,False,False
318973000000.0,5471,371441.0,h148,False,False
11274800000000.0,0,344911.0,h148,False,False
7800010000.0,26111,313699.0,h148,True,True
8382220000.0,4919,298048.0,h148,False,False
6175050000.0,21027,233662.0,h148,True,True
5938430000.0,2459,210553.0,h148,True,True
27626600000.0,12165,191321.0,h148,False,False
4472730000.0,815,156986.0,h148,False,False
4493590000000.0,0,143199.0,h148,False,False
5571280000000.0,0,133299.0,h148,False,False
10076400000.0,1961,119770.0,h148,False,False
20394000000.0,8020,117390.0,h148,False,False
430329000000.0,0,113504.0,h148,False,False
3148050000.0,787,111310.0,h148,False,False
64801800000.0,0,107598.0,h148,False,False
2354740000.0,20107,106283.0,h148,True,True
50552900000.0,565,100217.0,h148,False,False
2603300000000.0,0,99920.0,h148,False,False
773197000000.0,0,98859.0,h148,False,False
2274930000.0,16980,95885.0,h148,False,False
2385240000.0,634,83810.0,h148,True,False
2292010000.0,76,78966.0,h148,False,False
21358500000.0,1295,76609.0,h148,False,False
2164130000.0,0,75356.0,h148,False,False
2872250000.0,271,71014.0,h148,False,False
1922280000.0,753,67589.0,h148,False,False
1804260000.0,1159,64720.0,h148,False,False
1834460000.0,0,63890.0,h148,False,False
1798270000.0,25,62628.0,h148,True,True
443931000000.0,0,59210.0,h148,False,False
1486920000.0,6,51772.0,h148,False,False
1356390000.0,2789,49687.0,h148,True,True
2904420000.0,25,47611.0,h148,False,False
767821000000.0,0,46876.0,h148,False,False
1336280000.0,0,46522.0,h148,False,False
4114060000.0,105,44687.0,h148,False,False
1261170000.0,2,43909.0,h148,True,True
5125700000.0,239,43871.0,h148,False,False
309763000000.0,0,42002.0,h148,False,False
1159080000.0,0,40353.0,h148,False,False
1101730000.0,568,38947.0,h148,True,True
1082650000.0,0,37692.0,h148,False,False
1053550000.0,0,36679.0,h148,False,False
1048340000.0,0,36505.0,h148,False,False
1025500000.0,4,35706.0,h148,False,False
998695000.0,217,34961.0,h148,False,False
1001470000.0,7,34872.0,h148,False,False
9650700000.0,192,33768.0,h148,False,False
254592000000.0,0,33345.0,h148,False,False
330376000000.0,0,32786.0,h148,False,False
938611000.0,0,32683.0,h148,True,True
1001030000000.0,0,32630.0,h148,False,False
252805000000.0,0,31387.0,h148,False,False
868514000.0,0,30237.0,h148,False,False
709324000.0,6228,30200.0,h148,True,True
8722390000.0,81,30095.0,h148,False,False
563612000000.0,0,29823.0,h148,False,False
218660000000.0,0,29733.0,h148,False,False
162542000000.0,0,29213.0,h148,False,False
756751000.0,0,26346.0,h148,False,False
2472260000.0,0,25865.0,h148,False,False
737947000.0,3,25694.0,h148,True,True
50565900000.0,0,25434.0,h148,False,False
728659000.0,0,25368.0,h148,True,True
5930340000.0,666,25365.0,h148,False,False
1489290000.0,0,24876.0,h148,False,False
708639000.0,0,24671.0,h148,False,False
708639000.0,0,24671.0,h148,False,False
1260570000.0,0,24664.0,h148,False,False
266837000000.0,0,24489.0,h148,True,False
699394000.0,0,24357.0,h148,False,False
2805940000000.0,0,24323.0,h148,False,False
174543000000.0,0,23734.0,h148,False,False
662193000.0,0,23054.0,h148,True,True
3153230000.0,17,22964.0,h148,False,False
205533000000.0,0,22334.0,h148,False,False
2515010000000.0,0,21023.0,h148,False,False
79073800000000.0,0,21005.0,h148,False,False
144915000000.0,0,20460.0,h148,False,False
579670000.0,0,20181.0,h148,False,False
530790000.0,0,18480.0,h148,False,False
520241000.0,0,18112.0,h148,False,False
513304000.0,185,18034.0,h148,False,False
134470000000.0,0,17928.0,h148,False,False
508005000.0,0,17686.0,h148,False,False
1088640000000.0,0,17398.0,h148,False,False
129454000000.0,0,17386.0,h148,False,False
497463000.0,0,17319.0,h148,False,False
21762400000.0,58,17271.0,h148,False,False
2560140000000.0,0,17143.0,h148,False,False
488346000.0,5,17006.0,h148,False,False
62880600000000.0,0,16700.0,h148,False,False
123159000000.0,0,16698.0,h148,False,False
2596990000.0,32,16522.0,h148,False,False
637556000.0,0,16127.0,h148,False,False
892503000000.0,0,15892.0,h148,True,False
441682000.0,0,15377.0,h148,True,True
440286000.0,0,15337.0,h148,True,False
3478790000.0,650,15326.0,h148,False,False
432663000.0,0,15063.0,h148,True,False
1178910000.0,0,14944.0,h148,False,False
512457000000.0,0,14824.0,h148,False,False
217255000000.0,0,14597.0,h148,False,False
4145190000.0,0,14186.0,h148,False,False
1849540000.0,0,14059.0,h148,False,False
403193000.0,0,14037.0,h148,True,True
2048060000.0,6,13841.0,h148,False,False
463067000000.0,0,13673.0,h148,False,False
386274000.0,17,13463.0,h148,False,False
381679000.0,0,13288.0,h148,False,False
379611000.0,0,13216.0,h148,True,True
123924000000.0,0,13092.0,h148,False,False
368064000.0,0,12814.0,h148,True,True
356111000.0,266,12633.0,h148,False,False
360509000.0,0,12551.0,h148,False,False
1075660000000.0,0,12419.0,h148,False,False
351375000.0,0,12233.0,h148,False,False
994404000.0,0,12142.0,h148,False,False
87396300000.0,0,11884.0,h148,False,False
87352200000.0,0,11878.0,h148,False,False
328138000.0,0,11424.0,h148,True,True
4678170000.0,26,11403.0,h148,True,False
106613000000.0,0,11319.0,h148,False,False
323858000.0,0,11275.0,h148,True,True
322686000.0,36,11266.0,h148,False,False
318789000.0,73,11163.0,h148,False,False
41986900000000.0,0,11151.0,h148,False,False
549036000000.0,0,10775.0,h148,False,False
82395500000.0,0,10371.0,h148,False,False
81454200000.0,0,10145.0,h148,False,False
73960300000.0,0,10057.0,h148,False,False
288126000.0,0,10031.0,h148,False,False
283243000.0,0,9861.0,h148,False,False
279078000.0,0,9716.0,h148,True,True
274798000.0,0,9567.0,h148,False,False
655580000.0,0,9490.0,h148,False,False
270720000.0,0,9425.0,h148,False,False
58210100000.0,0,9313.0,h148,False,False
265693000.0,0,9250.0,h148,False,False
265434000.0,0,9241.0,h148,False,False
66268000000.0,0,9013.0,h148,False,False
7557080000.0,32,8821.0,h148,False,False
233200000.0,739,8772.0,h148,False,False
63958800000.0,0,8700.0,h148,False,False
75629700000.0,0,8597.0,h148,False,False
244782000.0,0,8522.0,h148,False,False
242886000.0,0,8456.0,h148,False,False
242570000.0,0,8445.0,h148,False,False
239899000.0,0,8352.0,h148,False,False
60950900000.0,0,8288.0,h148,False,False
43166700000.0,0,8198.0,h148,False,False
235447000.0,0,8197.0,h148,False,False
1716350000.0,0,8173.0,h148,False,False
231799000.0,0,8070.0,h148,True,True
1180540000.0,0,8060.0,h148,True,False
59936000000.0,0,8052.0,h148,False,False
737138000.0,0,7960.0,h148,False,False
227088000.0,0,7906.0,h148,True,True
57994600000.0,0,7886.0,h148,False,False
701977000.0,0,7883.0,h148,False,False
5419570000000.0,0,7859.0,h148,False,False
19627700000000.0,0,7837.0,h148,False,False
218127000.0,0,7594.0,h148,True,True
217753000.0,0,7581.0,h148,True,True
213703000.0,0,7440.0,h148,False,False
210515000.0,0,7329.0,h148,False,False
44928700000.0,0,7277.0,h148,True,False
207729000.0,0,7232.0,h148,True,True
206034000.0,0,7173.0,h148,False,False
205833000.0,0,7166.0,h148,False,False
200584000000.0,0,7136.0,h148,True,False
26440000000000.0,0,7022.0,h148,False,False
201697000.0,0,7022.0,h148,False,False
200088000.0,0,6966.0,h148,False,False
197561000.0,0,6878.0,h148,True,True
50125700000.0,0,6816.0,h148,False,False
195493000.0,0,6806.0,h148,False,False
103178000000.0,0,6792.0,h148,False,False
192505000.0,0,6702.0,h148,False,False
24175300000000.0,0,6699.0,h148,False,False
191213000.0,0,6657.0,h148,True,True
189923000.0,44,6651.0,h148,True,True
190437000.0,0,6630.0,h148,False,False
644786000.0,0,6605.0,h148,False,False
49375500000.0,0,6567.0,h148,False,False
48220900000.0,0,6557.0,h148,False,False
187737000.0,0,6536.0,h148,False,False
40183300000.0,0,6508.0,h148,True,False
601581000.0,0,6403.0,h148,False,False
183773000.0,0,6398.0,h148,False,False
47007500000.0,0,6392.0,h148,False,False
182940000.0,0,6369.0,h148,False,False
764119000.0,0,6357.0,h148,False,False
182165000.0,0,6342.0,h148,True,True
181590000.0,0,6322.0,h148,False,False
1538880000.0,0,6123.0,h148,False,False
175242000.0,0,6101.0,h148,False,False
233383000000.0,0,6024.0,h148,False,False
172801000.0,0,6016.0,h148,True,True
44146800000.0,0,6003.0,h148,False,False
22475100000000.0,0,5969.0,h148,False,False
171365000.0,0,5966.0,h148,True,True
89396600000.0,0,5947.0,h148,False,False
169814000.0,0,5912.0,h148,True,True
1496160000.0,0,5902.0,h148,False,False
169124000.0,0,5888.0,h148,False,False
43028900000.0,0,5851.0,h148,False,False
43271600000.0,0,5835.0,h148,False,False
21782300000000.0,0,5785.0,h148,False,False
99032200.0,2582,5724.0,h148,True,True
63098300000.0,0,5696.0,h148,False,False
162834000.0,0,5669.0,h148,False,False
790838000.0,0,5613.0,h148,False,False
42815700000.0,0,5612.0,h148,True,False
158640000.0,0,5523.0,h148,True,True
147774000.0,418,5514.0,h148,True,True
157721000.0,0,5491.0,h148,False,False
40256400000.0,0,5467.0,h148,True,False
157032000.0,0,5467.0,h148,True,True
39800500000.0,0,5412.0,h148,False,False
155193000.0,0,5403.0,h148,True,True
202194000000.0,0,5381.0,h148,True,False
153958000.0,0,5360.0,h148,True,True
39396000000.0,0,5357.0,h148,False,False
151632000.0,0,5279.0,h148,False,False
499144000.0,0,5224.0,h148,False,False
146100000.0,150,5219.0,h148,False,False
556618000000.0,0,5198.0,h148,False,False
148874000.0,0,5183.0,h148,False,False
148644000.0,0,5175.0,h148,False,False
1033780000.0,0,5173.0,h148,False,False
148443000.0,0,5168.0,h148,True,True
293687000000.0,0,5145.0,h148,False,False
38344400000.0,0,5067.0,h148,False,False
56656100000.0,0,4995.0,h148,False,False
143302000.0,0,4989.0,h148,False,False
130741000.0,437,4938.0,h148,False,False
36285200000.0,0,4934.0,h148,False,False
890609000.0,0,4932.0,h148,False,False
141464000.0,0,4925.0,h148,False,False
45875000000.0,0,4901.0,h148,False,False
140577000.0,0,4899.0,h148,False,False
140544000.0,0,4893.0,h148,True,True
140516000.0,0,4892.0,h148,True,True
140487000.0,0,4891.0,h148,False,False
64341200000.0,0,4878.0,h148,False,False
1340450000000.0,0,4871.0,h148,False,False
4689870000000.0,0,4850.0,h148,False,False
139309000.0,0,4850.0,h148,False,False
691664000.0,0,4833.0,h148,True,False
138735000.0,0,4830.0,h148,False,False
343530000.0,0,4829.0,h148,False,False
9625560000.0,0,4781.0,h148,False,False
17979300000000.0,0,4775.0,h148,False,False
137126000.0,0,4774.0,h148,False,False
129936000.0,230,4727.0,h148,True,True
34843800000.0,0,4717.0,h148,True,False
34505500000.0,0,4692.0,h148,False,False
134512000.0,0,4683.0,h148,False,False
40418200000.0,0,4677.0,h148,True,False
307759000.0,0,4671.0,h148,False,False
281663000000.0,0,4665.0,h148,False,False
5845640000000.0,0,4657.0,h148,False,False
131985000.0,0,4595.0,h148,False,False
131899000.0,0,4592.0,h148,True,True
810031000.0,0,4576.0,h148,False,False
130807000.0,0,4554.0,h148,True,True
275412000000.0,0,4550.0,h148,False,False
459388000.0,0,4491.0,h148,False,False
372977000.0,0,4490.0,h148,False,False
16812100000000.0,0,4465.0,h148,False,False
127734000.0,0,4447.0,h148,True,True
245752000000.0,0,4437.0,h148,False,False
2178300000.0,0,4404.0,h148,False,False
1401930000.0,0,4401.0,h148,False,False
4813710000000.0,0,4400.0,h148,False,False
126068000.0,0,4389.0,h148,False,False
16525900000000.0,0,4389.0,h148,False,False
126039000.0,0,4388.0,h148,False,False
125838000.0,0,4381.0,h148,False,False
109922000000.0,0,4349.0,h148,False,False
31961000000.0,0,4346.0,h148,False,False
104130000.0,812,4343.0,h148,True,True
124172000.0,0,4323.0,h148,False,False
