sim,haloid,M_star,M_halo,M_r,SFR,sSFR,quenched
h148,1,193469713158.88577,2266745535032.1226,-23.0944728592288,16.016139060211245,8.278370189683432e-11,False
h148,2,2268773242.58524,85237710358.59561,-19.14522636894986,0.47707339386708386,2.1027812956902845e-10,False
h148,3,1505382821.526609,46116065100.93593,-18.067305649973566,0.0953464649367334,6.333702203406476e-11,False
h148,5,431784719.1125242,32123410831.13628,-16.710480834023375,0.024558893329604783,5.687763425274129e-11,False
h148,6,331596785.7922232,30383240337.720886,-16.634194221068526,0.035411449980902225,1.0679069127977269e-10,False
h148,9,235953714.6012626,16204688710.97539,-15.566331405357323,0.0027240657715014677,1.154491581581946e-11,False
h148,10,24528972.232150078,13442719333.381847,-13.43016711795283,0.0006681820853249344,2.7240525163510495e-11,False
h148,11,135332344.92927483,9299657268.47431,-16.169971484149755,0.022226031448153095,1.6423295894095752e-10,False
h148,13,104376733.61681984,9303938078.56358,-14.451364314184996,6.168401959431897e-05,5.909748030702779e-13,True
h148,14,12415194.868359055,9540442239.930893,-13.027805796040878,0.0006614601069527606,5.3278270213747133e-11,False
h148,21,4102690.6722420333,6482036544.571741,-11.802581140987892,0.00018974509346219085,4.6248939688767515e-11,False
h148,24,3907653.2125731762,5252766226.879159,-11.77832286335571,0.00015399425492024316,3.940837288855489e-11,False
h148,27,100416032.73273057,2996270372.677348,-15.011224505943622,0.0030806466405011636,3.067883242012436e-11,False
h148,28,84172037.70770888,3287746917.0721545,-14.52224601472947,0.0005746660541784481,6.827279816772423e-12,True
h148,30,374138.50641638855,3823870291.3211894,-8.449373257125899,0.0,0.0,True
h148,32,3171185.763228534,3428505038.918185,-11.314161567996132,0.00013246452437438595,4.1771291329059805e-11,False
h148,36,3707060.7635912253,2958760304.073391,-10.91338441312103,0.0,0.0,True
h148,37,5759678.703155427,2793376928.149509,-11.839414184978715,0.0,0.0,True
h148,41,29485.07345314986,2348850826.9989,-5.611712383679754,0.0,0.0,True
h148,45,13740928.318247871,1900637295.3753593,-12.412703630973407,0.0,0.0,True
h148,47,9824.077855920705,1952727548.837802,-4.3899184198678975,0.0,0.0,True
h148,48,127299.91874585536,1918438683.8653724,-8.325225007635366,0.0,0.0,True
h148,58,34390.65012667862,1652731768.522774,-5.753742017946525,0.0,0.0,True
h148,61,1067540.1974033855,1558850636.3671105,-9.512558531169754,0.0,0.0,True
h148,65,19657.393054989156,1454670129.4422252,-5.139296449128663,0.0,0.0,True
h148,68,2822993.3005341254,1358839321.4043221,-11.205514270120624,0.0,0.0,True
h148,80,30012934.913910694,878540906.2404487,-13.13280917684744,0.0,0.0,True
h148,81,14736.117863262123,1107076827.0455675,-4.8301465675071,0.0,0.0,True
h148,96,910037.2674103231,807208199.5054684,-9.31910985098581,0.0,0.0,True
h148,105,24568.664974765263,754355029.3934536,-5.384768441547991,0.0,0.0,True
h148,119,83582.52379189963,589480264.5692861,-6.739568286410549,0.0,0.0,True
h148,127,360843.34759430116,537729085.1733198,-8.69602809931096,0.0,0.0,True
h148,128,1308344.71204371,516070729.17713743,-9.755841144302456,0.0,0.0,True
h148,136,177002.3551975481,486528901.1353778,-7.536881963125747,0.0,0.0,True
h148,163,3635148.4940497857,351280732.869589,-10.876442489029877,0.0,0.0,True
h148,212,216324.51002617576,277150665.0861779,-7.773867138420899,0.0,0.0,True
h148,265,737770.9349594566,217812703.45280132,-9.108045463711168,0.0,0.0,True
h148,278,2154416.2251313888,191237773.4927106,-10.417441356436502,0.0,0.0,True
h148,283,2063790.3327528015,187635111.53639844,-10.617288382911632,0.0,0.0,True
h148,329,3984285.8970111087,146140922.65134442,-10.959026350557266,0.0,0.0,True
h148,372,14736.151108198901,158940968.6608299,-4.8301465675071,0.0,0.0,True
h148,377,49135.927617651876,156270760.387328,-6.140616645708295,0.0,0.0,True
h148,384,250732.15479183462,150167427.19075215,-7.922006276198426,0.0,0.0,True
h148,386,1086834.7673074421,141775344.0454603,-9.530109863636628,0.0,0.0,True
h148,442,49162.30207808029,130967358.17652388,-6.142366455095958,0.0,0.0,True
h148,491,240966.6372444206,113844117.8194638,-7.863289203602852,0.0,0.0,True
h148,620,24571.434234823668,88710252.64189789,-5.384873791579495,0.0,0.0,True
h148,678,119724.14199521272,80148632.46336783,-5.229403294909057,0.0,0.0,True
h148,699,413071.1670197384,74511526.10819708,-8.509956620916615,0.0,0.0,True
h148,711,5192047.779532123,31830577.99047554,-11.328689839636418,0.0,0.0,True
h148,759,113090.6847742611,70018794.72738428,-7.0532857744716,0.0,0.0,True
h148,914,4912.045188370525,58829350.533661865,-3.6373434307079444,0.0,0.0,True
h148,1004,29504.09430626386,52471711.78722866,-5.581161957241724,0.0,0.0,True
h148,1024,462208.37391982763,47639906.33993943,-8.64703899582717,0.0,0.0,True
h148,1201,4912.033962807457,42935253.66757886,-3.6373434307079444,0.0,0.0,True
h148,1217,98342.6116863315,41621341.65998267,-6.90981520678519,0.0,0.0,True
h148,1451,432770.76301083446,31194814.115832224,-8.579115606516954,0.0,0.0,True
h148,2905,260683.84053118882,13817268.208914816,-7.990256795848603,0.0,0.0,True
h148,5039,14738.478253773395,8476851.66191093,-4.888288505870115,0.0,0.0,True
h229,1,102046247074.76245,1097276273101.5305,-22.21606517086958,5.393194554480049,5.2850493860188865e-11,False
h229,2,832681370.778445,57609743826.86367,-17.544214403254138,0.08334895083060827,1.0009705243277896e-10,False
h229,5,34897470.392024666,13036974013.435905,-13.486876903764681,0.000796579387403894,2.28262787662094e-11,False
h229,7,24763460.54902339,9427494712.72457,-13.52273254212965,0.0009357509631863264,3.778756855625456e-11,False
h229,17,172052.36587899775,2754129104.9548616,-7.548159810996351,0.0,0.0,True
h229,20,3338274.865992406,2586245057.790715,-11.233785393267471,0.0,0.0,True
h229,22,77148780.74741861,1451576078.5856276,-14.143659612256652,0.0,0.0,True
h229,23,861068.1857683044,2105819489.8519137,-9.43674306352972,0.0,0.0,True
h229,27,4786507.657121212,1580212302.5551262,-11.152482596430435,0.0,0.0,True
h229,29,1442006.1271575717,1492053045.2712522,-4.944546300208082,0.0,0.0,True
h229,33,6013067.311027142,1274409878.8516893,-6.67086326724322,0.0,0.0,True
h229,52,457290.0933629252,837767249.7466573,-8.570346599839251,0.0,0.0,True
h229,53,624603.9945035216,820135398.2898825,-8.924609551125517,0.0,0.0,True
h229,55,6790766.609284809,765925931.9119622,-11.604479213313958,0.0,0.0,True
h229,59,68826.6575726862,780760422.3203063,-6.524493809262275,0.0,0.0,True
h229,61,29496.170785747494,725067506.9015514,-5.586827620726941,0.0,0.0,True
h229,62,14738.422125958055,723753594.8939552,-4.833064317992187,0.0,0.0,True
