snapshot,time_gyr,main_halo_num,merging_halo_num,main_mstar,merging_mstar,main_mvir,merging_mvir,main_mgas,merging_mgas,redshift,main_haloid,merging_haloid
001728,5.799306405029615,7,24,813398.0,388462.0,4444790000.0,1152830000.0,209409000.0,8009560.0,1.0715256362417551,4209920,4209937
001824,6.120878726979602,7,37,1390310.0,387041.0,5659050000.0,695400000.0,300268000.0,5326740.0,0.9904031745896769,3972798,3972828
002016,6.764023370879723,6,58,2612080.0,385036.0,7146330000.0,376254000.0,344234000.0,3645010.0,0.846289948065565,3822640,3822692
002016,6.764023370879723,6,9,2612080.0,996584.0,7146330000.0,2665460000.0,344234000.0,119437000.0,0.846289948065565,3822640,3822643
002112,7.085595692828134,4,19,3321490.0,1724410.0,10268200000.0,1414420000.0,661832000.0,106549000.0,0.7818216440931394,3684179,3684194
002208,7.407168014778423,4,26,3949010.0,2138240.0,11578200000.0,737621000.0,731342000.0,103525000.0,0.7216262102036024,4371350,4371372
002304,7.728740336727385,4,15,4803000.0,1909160.0,12229700000.0,1802970000.0,777343000.0,132680000.0,0.6652282905547982,4174696,4174707
002400,8.050312658675832,4,14,5104610.0,2624310.0,12855800000.0,1576800000.0,835737000.0,145776000.0,0.6122232290517313,3614218,3614228
002400,8.050312658675832,4,79,5104610.0,382436.0,12855800000.0,228306000.0,835737000.0,10222500.0,0.6122232290517313,3614218,3614293
002496,8.37188498062568,4,19,5940860.0,2766420.0,13778300000.0,1134810000.0,907698000.0,135113000.0,0.5622642834503437,3342156,3342171
002592,8.693457302575627,4,162,7206950.0,385260.0,14392400000.0,94678100.0,955047000.0,7468770.0,0.5150525375569515,3441914,3442072
003072,10.30131891232472,5,35,14097100.0,209101.0,17148000000.0,3689090000.0,764076000.0,12485600.0,0.31219573547935187,4008114,4008144
003168,10.62289123427461,5,40,14992400.0,228016.0,18156100000.0,3030760000.0,806212000.0,13328100.0,0.27702793017413097,4278908,4278943
003264,10.944463556223939,5,53,15732200.0,259438.0,18837500000.0,1883320000.0,842963000.0,13203000.0,0.24334006695772126,4042808,4042856
003648,12.230752844023165,5,38,18460300.0,346770.0,19884700000.0,2299810000.0,892337000.0,27930000.0,0.12138548791663162,3906470,3906503
003744,12.552325165973032,5,41,19386600.0,368219.0,19849100000.0,2113030000.0,896500000.0,27454100.0,0.09367995987796274,3476934,3476970
003840,12.873897487922786,5,42,20979500.0,414257.0,19852000000.0,1873640000.0,883888000.0,24556100.0,0.06694861913577177,4245109,4245146
003936,13.1954698098727,5,55,21779000.0,425290.0,19715800000.0,1412980000.0,868989000.0,20800800.0,0.041133081990635256,3719462,3719512
